CE;Ibicuitinga;11622;11890;12012
CE;Icapuí;18746;19129;19276
CE;Icó;65900;66885;67045
CE;Iguatu;98138;100053;100733
CE;Independência;25620;25946;25952
CE;Ipaporanga;11358;11500;11500
CE;Ipaumirim;12080;12256;12281
CE;Ipu;40579;41190;41292
CE;Ipueiras;37758;38159;38089
CE;Iracema;13808;14011;14042
CE;Irauçuba;22742;23202;23376
CE;Itaiçaba;7428;7567;7612
CE;Itaitinga;36814;37705;38131
CE;Itapagé;49130;50211;50671
CE;Itapipoca;119320;122220;123613
CE;Itapiúna;19009;19409;19570
CE;Itarema;38547;39494;39955
CE;Itatira;19401;19861;20077
CE;Jaguaretama;17839;18040;18018
CE;Jaguaribara;10652;10892;10999
CE;Jaguaribe;34317;34683;34621
CE;Jaguaruana;32614;33174;33324
CE;Jardim;26730;27067;27069
CE;Jati;7647;7764;7785
CE;Jijoca de Jericoacoara;17744;18292;18616
CE;Juazeiro do Norte;255648;261289;263704
CE;Jucás;23985;24351;24417
CE;Lavras da Mangabeira;31073;31435;31409
CE;Limoeiro do Norte;56255;57372;57782
CE;Madalena;18575;19017;19225
CE;Maracanaú;213404;217922;219749
CE;Maranguape;117306;120405;122020
CE;Marco;25349;25944;26219
